date,client,tweet,preemptive_framing,diversion,trial_ballooon,deflection,salient_exemplar
2016-10-01 13:01:31,Twitter for iPhone,"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you. https://t.co/WN1lyCDXla",0,0,0,0,0
2016-10-01 16:16:05,Twitter for Android,"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone.",0,0,0,0,0
2016-10-01 16:47:45,Twitter for Android,The so-called Commission on Presidential Debates admitted to us that the DJT audio & sound level was very bad. So why didn't they fix it?,0,0,0,0,0
2016-10-01 17:25:52,Twitter for Android,"Wow, just saw the really bad @CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.",0,0,0,0,0
2016-10-01 17:29:56,Twitter for Android,Heading to Pennsylvania for a big rally tonight. We will MAKE AMERICA GREAT AGAIN!,0,0,0,0,0
2016-10-02 07:22:41,Twitter for Android,I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,0,0,0,0,0
2016-10-02 07:35:00,Twitter for Android,I have created tens of thousands of jobs and will bring back great American prosperity. Hillary has only created jobs at the FBI and DOJ!,0,0,0,0,0
2016-10-02 08:10:33,Twitter for Android,"""@trumplican2016: .@realDonaldTrump There will be MASSIVE turnout for you, Mr. Trump - These polls don't register the pulse of the PEOPLE!",0,0,0,0,0
2016-10-02 17:48:21,Twitter for iPhone,Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.,0,0,0,0,0
2016-10-02 17:59:07,Twitter for iPhone,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",0,0,0,0,0
2016-10-02 19:45:40,Twitter for Android,Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,0,0,0,0,0
2016-10-03 10:10:52,Twitter for iPhone,"Join me in Henderson, Nevada on Wednesday at 11:30am! #MAGA Tickets: https://t.co/pWTYv9BbUE",0,0,0,0,0
2016-10-03 17:41:35,Twitter for iPhone,"Thank you Pueblo, Colorado! #TrumpRally #AmericaFirst https://t.co/3KWOl20zMm https://t.co/rFAf7xYNhy",0,0,0,0,0
2016-10-03 18:03:46,Twitter for iPhone,We must bring the truth directly to hard-working Americans who want to take our country back. #BigLeagueTruth… https://t.co/0iAeiPYEhO,0,0,0,0,0
2016-10-03 22:20:21,Twitter for iPhone,Thank you Colorado! #MAGA https://t.co/3KWOl20zMm https://t.co/M7QhdCgRzw https://t.co/wIGNtKPA2X,0,0,0,0,0
2016-10-03 23:39:42,Twitter for iPhone,"Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGA Tickets:… https://t.co/G0NvFLQWgS",0,0,0,0,0
2016-10-04 15:36:19,Twitter for iPhone,"Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGA Tickets: https://t.co/DJ7JJUkkz7",0,0,0,0,0
2016-10-04 15:40:44,Twitter for iPhone,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,0,0,0,0,0
2016-10-04 15:48:15,Twitter for iPhone,"My childcare plan makes a difference for working families - more money, more freedom. #AmericaFirst means… https://t.co/X3Yn3FZphf",0,0,0,0,0
2016-10-04 18:38:18,Twitter for iPhone,"Thank you ARIZONA! This is a MOVEMENT like nobody has ever seen before. Together, we are going to MAKE AMERICA SAFE… https://t.co/EwP4hnaeoE",0,0,0,0,0
2016-10-04 19:44:28,Twitter for iPhone,Join the MOVEMENT! https://t.co/3KWOl20zMm https://t.co/BS5JLelPJd,0,0,0,0,0
2016-10-04 19:55:55,Twitter for Android,"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!",0,0,0,0,0
2016-10-04 20:12:59,Twitter for Android,"Wow, @CNN is so negative. Their panel is a joke, biased and very dumb. I'm turning to @FoxNews where we get a fair shake! Mike will do great",0,0,0,0,0
2016-10-04 20:18:38,Twitter for Android,I will be live-tweeting the V.P. Debate. Very exciting! MAKE AMERICA GREAT AGAIN!,0,0,0,0,0
2016-10-04 21:01:12,Twitter for Android,Here we go - Enjoy!,0,0,0,0,0
