Date,Time,Tweet,Client,Client Simplified,,,,,,,,,,,,,,,
10/31/16,4:49:56 PM,"Wow! I hear you Warren, Michigan. Streaming live - join us America. It is time to DRAIN THE SWAMP! Watch: https://t.co/pjXELwc5E1",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/31/16,3:08:25 PM,#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/31/16,3:00:42 PM,"Thank you Grand Rapids, Michigan! #ICYMI- watch: https://t.co/2mDQCs6coB https://t.co/gN7BYfLD9K",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/31/16,2:20:00 PM,$25 Million+ raised online in just one week! RECORD WEEK. #DrainTheSwamp Today we set a bigger record. Contribute >https://t.co/CZ1QmzCxwO,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/31/16,12:38:13 PM,"Legendary basketball coach Bobby Knight who has 900+ wins, many championships and a gold medal will be introducing… https://t.co/aHltfG7U4I",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/31/16,12:00:19 PM,'Hillary's Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation' #DrainTheSwamp https://t.co/6qOO7FZSvF,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,11:59:48 PM,Join me tomorrow in Michigan! Grand Rapids at 12pm: https://t.co/xFPRNF7pnF Warren at 3pm: https://t.co/DREwbH7ZVd https://t.co/iyXwiP0rvd,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,10:52:08 PM,"Beautiful rally in Albuquerque, New Mexico this evening - thank you. Get out & VOTE! #DrainTheSwamp Watch rally:… https://t.co/K2RSgt2Zh5",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,7:23:26 PM,@slh: I follow Mr.Trump at all of his rallies by watching them on https://t.co/biseaBESvS. He is a lion-hearted warrior," who inspires hope""""@slh: I follow Mr.Trump at all of his rallies by watching them on https://t.co/biseaBESvS. He is a lion-hearted warrior"," who inspires hope""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,
10/30/16,7:19:09 PM,"Thank you Greeley, CO! REAL change means restoring honesty to the govt. Our plan will END govt. corruption! Watch:… https://t.co/qz5AL7zvp4",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,3:05:31 PM,"Thank you Las Vegas, Nevada- I love you! Departing for Greeley, Colorado now. Get out & VOTE! #ICYMI- watch here:… https://t.co/uIloPRtEn9",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,1:58:52 PM,"See you tomorrow Michigan! Grand Rapids, MI tomorrow at noon: https://t.co/xFPRNEPNZ5 Warren, MI tomorrow at 3pm:… https://t.co/UHRTgS88B5",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/30/16,10:26:30 AM,"Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/30/16,10:04:06 AM,"Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming, should not have delayed!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/30/16,9:55:06 AM,"We are now leading in many polls, and many of these were taken before the criminal investigation announcement on Friday - great in states!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/29/16,9:36:25 PM,"Great day in Colorado & Arizona. Will be in Nevada, Colorado and New Mexico tomorrow - join me! Tickets:… https://t.co/vMPTsLXsCT",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,9:23:28 PM,"THANK YOU Phoenix, Arizona! Time for new POWERFUL leadership. Just imagine what WE can accomplish in our first 100… https://t.co/gqZLLxcenk",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,4:02:16 PM,So nice - great Americans outside Trump Tower right now. Thank you! https://t.co/34ATTgICTz,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,3:56:49 PM,"Departing Golden, CO. for Arizona now - after an unbelievable rally. Watch here: https://t.co/zNzmWuZPiV Overflow: https://t.co/93L7JfdmXJ",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,1:02:04 PM,#ObamacareFail https://t.co/iusXk4n9w7,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,12:54:54 PM,"Tomorrow! Las Vegas, NV- 11a: https://t.co/KluudKImvn Greeley, CO- 4p: https://t.co/JYimiIbqKB Albuquerque, NM- 7p: https://t.co/7SCol4vQlM",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,11:37:26 AM,"@DeplorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty"" Thank you Phil!""""@DeplorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty"" Thank you Phil!""""DeplorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty""""eplorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this mess."" - #PhilRobertson of T""""plorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this mess."" - #Phi""""lorableCBTP: ""In my mind"," #DonaldTrump is the only way out of this""""orableCBTP: ""In my mind"," #DonaldTrump is the only wa""""rableCBTP: ""In my mind"," #DonaldTrump is""""ableCBTP: ""In my mind"," #Don""""bleCBTP: ""In my """"leCBTP""",Twitter for Android,Twitter for Android,,,,,,
10/29/16,9:08:22 AM,I am in Colorado - big day planned - but nothing can be as big as yesterday!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/29/16,12:11:17 AM,Join me in Colorado at 12pm tomorrow - or Arizona at 3pm! TICKETS: Golden: https://t.co/Eix7SspO2Z Phoenix:… https://t.co/pheYCksxq0,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/29/16,12:04:25 AM,"Thank you Maine, New Hampshire and Iowa. The waiting is OVER! The time for change is NOW! We are going to… https://t.co/HVPjw6qeQ2",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,9:30:55 PM,"@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!""""@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/28/16,9:28:46 PM,Just landed in Iowa - speaking soon!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/28/16,3:20:22 PM,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
